ticker,name,section,first_daily,tier,hedged,investable,cost_bucket,reporting_class,not_investable_because,source_file
FGCIICUT,FTSE Global Core Infrastructur,15. Real Assets,2006-01-02,second,False,True,high,Real Assets,,bbg_index_coverage.csv
M2WDCOMP,MSCI ACWI Commodity Producers,15. Real Assets,1999-01-04,backbone,False,True,high,Real Assets,,bbg_index_coverage.csv
SPGNRUT,S&P Global Natural Resources T,15. Real Assets,2003-01-02,second,False,True,high,Real Assets,,bbg_index_coverage.csv
LBUTTRUU,Bloomberg US Treasury Inflatio,4. Inflation-Linked,1999-01-04,backbone,False,True,low,TIPS,,bbg_index_coverage.csv
LTP5TRUU,Bloomberg US Treasury TIPS 0-5,4. Inflation-Linked,2011-01-03,tradable-only,False,True,low,TIPS,,bbg_index_coverage.csv
LT01TRUU,Bloomberg U.S. Treasury: 1-3 Y,2. US Treasury Maturity Buckets,1998-01-02,backbone,False,True,low,Treasuries,,bbg_index_coverage.csv
LT09TRUU,Bloomberg U.S. Treasury: 7-10,2. US Treasury Maturity Buckets,1998-01-02,backbone,False,True,low,Treasuries,,bbg_index_coverage.csv
LT13TRUU,Bloomberg U.S. Treasury 3-7 Yr,2. US Treasury Maturity Buckets,2007-01-08,second,False,True,low,Treasuries,,bbg_index_coverage.csv
M1CXNNA,MSCI USA High Dividend Yield N,11. Factor / Style - US,2017-01-03,tradable-only,False,True,mid,US Equities,,bbg_index_coverage.csv
M1US000G,MSCI USA Growth Net Total Retu,11. Factor / Style - US,1999-01-04,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
M1US000V,MSCI USA Value Net Total Retur,11. Factor / Style - US,2001-01-02,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
M1USMMT,MSCI USA Momentum USD Net Tota,11. Factor / Style - US,1995-01-03,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
M1USMVOL,MSCI USA Minimum Volatility Ne,11. Factor / Style - US,1995-01-03,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
M1USQU,MSCI USA Quality Net Total Ret,11. Factor / Style - US,1995-01-03,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
M1USSC,MSCI USA Small Cap Net Total R,6. Equity Regions - US (also 11. Factor/Style - US),2001-01-02,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUS0CD,MSCI USA Consumer Discretionar,9. US Sectors (MSCI USA),1995-01-02,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUS0CS,MSCI USA Consumer Staples Inde,9. US Sectors (MSCI USA),1995-01-03,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUS0EN,MSCI USA Energy Index,9. US Sectors (MSCI USA),1995-01-03,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUS0FN,MSCI USA Financials Index,9. US Sectors (MSCI USA),1995-01-02,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUS0HC,MSCI USA Health Care Index,9. US Sectors (MSCI USA),1995-01-02,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUS0IN,MSCI USA Industrials Index,9. US Sectors (MSCI USA),1995-01-03,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUS0IT,MSCI USA Information Technolog,9. US Sectors (MSCI USA),1995-01-02,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUS0MT,MSCI USA Materials Index,9. US Sectors (MSCI USA),1995-01-02,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUS0RE,MSCI US Real Estate Index GICS,9. US Sectors (MSCI USA),1995-01-03,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUS0TC,MSCI USA/COMM SVC STRD USD RT,9. US Sectors (MSCI USA),1995-01-02,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUS0UT,MSCI USA Utilities Index,9. US Sectors (MSCI USA),1995-01-02,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
MXUSMC,MSCI USA MID CAP INDEX,6. Equity Regions - US,1995-01-03,backbone,False,True,mid,US Equities,,bbg_index_coverage.csv
SPXT,S&P 500 Total Return Index,6. Equity Regions - US,1990-01-02,backbone,False,True,low,US Equities,,bbg_index_coverage.csv
